db,record,cls,pre_norm,post_norm,sum_norm
MITDB,100,N,1.0281690140843929,1.0281690140843929,1.0281690140843929
MITDB,100,N,1.0281690140843929,0.9999999999998889,1.014084507042141
MITDB,100,N,0.9999999999998889,0.9999999999998891,0.999999999999889
MITDB,100,N,0.9999999999998891,0.9859154929576364,0.9929577464787628
MITDB,100,N,0.9859154929576364,1.0422535211266448,1.0140845070421407
MITDB,100,N,1.0422535211266448,0.8169014084506132,0.929577464788629
MITDB,100,PAC,0.8169014084506132,1.2535211267604245,1.035211267605519
MITDB,100,N,1.2535211267604245,1.0704225352111492,1.161971830985787
MITDB,100,N,1.0704225352111492,1.0281690140843929,1.049295774647771
MITDB,100,N,1.0281690140843929,0.9999999999998874,1.01408450704214
MITDB,100,N,0.9999999999998874,0.9718309859153854,0.9859154929576364
MITDB,100,N,0.9718309859153854,1.056338028168898,1.0140845070421418
MITDB,100,N,1.056338028168898,1.0845070422534002,1.0704225352111492
MITDB,100,N,1.0845070422534002,1.0422535211266437,1.063380281690022
MITDB,100,N,1.0422535211266437,1.0422535211266462,1.0422535211266448
MITDB,100,N,1.0422535211266462,1.0422535211266437,1.0422535211266448
MITDB,100,N,1.0422535211266437,0.9999999999998896,1.0211267605632668
MITDB,100,N,0.9999999999998896,1.0140845070421396,1.0070422535210146
MITDB,100,N,1.0140845070421396,0.9999999999998896,1.0070422535210146
MITDB,100,N,0.9999999999998896,1.028169014084394,1.0140845070421418
MITDB,100,N,1.028169014084394,1.0985915492956524,1.063380281690023
MITDB,100,N,1.0985915492956524,1.0422535211266437,1.070422535211148
MITDB,100,N,1.0422535211266437,0.9999999999998896,1.0211267605632668
MITDB,100,N,0.9999999999998896,0.9999999999998896,0.9999999999998896
MITDB,100,N,0.9999999999998896,0.9718309859153854,0.9859154929576376
MITDB,100,N,0.9718309859153854,0.9999999999998851,0.9859154929576353
MITDB,100,N,0.9999999999998851,1.014084507042144,1.0070422535210146
MITDB,100,N,1.014084507042144,1.0422535211266437,1.028169014084394
MITDB,100,N,1.0422535211266437,1.0422535211266437,1.0422535211266437
MITDB,100,N,1.0422535211266437,1.070422535211148,1.0563380281688959
MITDB,100,N,1.070422535211148,1.014084507042144,1.0422535211266462
MITDB,100,N,1.014084507042144,0.9718309859153854,0.9929577464787648
MITDB,100,N,0.9718309859153854,1.0140845070421396,0.9929577464787624
MITDB,100,N,1.0140845070421396,0.9999999999998896,1.0070422535210146
MITDB,100,N,0.9999999999998896,1.0845070422533978,1.0422535211266437
MITDB,100,N,1.0845070422533978,1.056338028168898,1.070422535211148
MITDB,100,N,1.056338028168898,1.0422535211266437,1.049295774647771
MITDB,100,N,1.0422535211266437,1.0140845070421396,1.0281690140843918
MITDB,100,N,1.0140845070421396,1.056338028168898,1.035211267605519
MITDB,100,N,1.056338028168898,0.9999999999998896,1.028169014084394
MITDB,100,N,0.9999999999998896,0.9999999999998896,0.9999999999998896
MITDB,100,N,0.9999999999998896,1.0422535211266437,1.0211267605632668
MITDB,100,N,1.0422535211266437,1.056338028168898,1.049295774647771
MITDB,100,N,1.056338028168898,1.1126760563379068,1.0845070422534024
MITDB,100,N,1.1126760563379068,1.0422535211266437,1.0774647887322752
MITDB,100,N,1.0422535211266437,0.9859154929576353,1.0140845070421396
MITDB,100,N,0.9859154929576353,1.014084507042144,0.9999999999998896
MITDB,100,N,1.014084507042144,1.0281690140843893,1.0211267605632668
MITDB,100,N,1.0281690140843893,0.9999999999998896,1.0140845070421396
MITDB,100,N,0.9999999999998896,1.056338028168898,1.028169014084394
MITDB,100,N,1.056338028168898,1.056338028168898,1.056338028168898
MITDB,100,N,1.056338028168898,1.0422535211266437,1.049295774647771
MITDB,100,N,1.0422535211266437,1.0281690140843893,1.0352112676055165
