record,n_ect,n_pac,couplets,regular,rr_cv,rmssd_norm,pnn_norm,iqr_norm,mad_norm,range_norm,turning_point_ratio
800,1,1,1,False,0.146346363767104,0.068169819191023,0.11290322580645161,0.0476190476190472,0.023809523809524086,0.619047619047619,0.6557377049180327
800,0,0,0,True,0.06544396538813912,0.055558094529148574,0.24193548387096775,0.09459459459460245,0.05405405405404595,0.2972972972972968,0.6065573770491803
800,0,0,0,False,0.13532072573753218,0.08818007303647026,0.3064516129032258,0.136363636363614,0.03896103896103742,0.5714285714285714,0.6065573770491803
800,2,2,2,False,0.16997271764933594,0.12559564420544506,0.3709677419354839,0.27941176470588724,0.11764705882352339,0.6470588235294042,0.5245901639344263
800,1,1,1,True,0.08530883861710742,0.08826691400546818,0.22580645161290322,0.05952380952382654,0.035714285714267956,0.5595238095237799,0.5573770491803278
800,0,0,0,True,0.08313905147216577,0.038964759577689335,0.12903225806451613,0.14583333333333182,0.05555555555559987,0.3750000000000272,0.5737704918032787
800,0,0,0,True,0.015746658216773055,0.018114818305843758,0.0,0.01538461538460797,0.01538461538460797,0.07692307692303985,0.4918032786885246
800,0,0,0,True,0.03562277127294839,0.018955640009788076,0.0,0.062499999999969406,0.031249999999984703,0.1250000000000204,0.6229508196721312
800,1,0,0,True,0.034991844273716266,0.03353488962985309,0.06451612903225806,0.04687499999997705,0.015625000000073934,0.20312499999998215,0.5409836065573771
800,0,0,0,True,0.040129101986335805,0.036054843962427315,0.08064516129032258,0.03968253968251995,0.01587301587300798,0.23809523809536834,0.639344262295082
800,5,1,3,False,0.23585378960163653,0.35281352424715984,0.1935483870967742,0.059701492537285517,0.029850746268642758,1.4776119402985959,0.5901639344262295
800,0,0,0,False,0.17952732496302046,0.07877498829377778,0.24193548387096775,0.11538461538463599,0.051282051282030686,0.7692307692307281,0.5737704918032787
800,2,2,3,False,0.1509235276687037,0.15551032086962308,0.2903225806451613,0.1062500000000098,0.050000000000104426,0.7999999999998434,0.5081967213114754
800,3,3,3,False,0.17165204393874134,0.14521365832017732,0.3548387096774194,0.255952380952378,0.04761904761914826,0.773809523809512,0.4918032786885246
800,0,0,0,True,0.037465210428287175,0.02703210997768416,0.0967741935483871,0.06329113924034904,0.025316455696324677,0.15189873417728714,0.6229508196721312
800,2,2,2,True,0.111811228291743,0.09805255293010148,0.3387096774193548,0.11764705882353302,0.0588235294117358,0.611764705882298,0.47540983606557374
800,2,2,2,False,0.13176027911730248,0.1349118746990692,0.3387096774193548,0.14367816091959126,0.0574712643677885,0.6781609195401443,0.5245901639344263
800,2,2,2,False,0.12760327352666967,0.12847944795782806,0.3548387096774194,0.20202020202020096,0.10101010101004773,0.5757575757574831,0.5245901639344263
800,2,2,2,True,0.10552939714543291,0.10507766544379683,0.16129032258064516,0.14678899082571356,0.02752293577980333,0.5321100917432476,0.6721311475409836
800,0,0,0,True,0.07420128520946312,0.02909713782265778,0.06451612903225806,0.12385321100906709,0.03669724770640444,0.23853211009182046,0.5573770491803278
800,2,2,2,True,0.0958318032009654,0.10655497061091868,0.3387096774193548,0.12755102040805563,0.06122448979589227,0.5510204081632436,0.6229508196721312
800,2,2,2,True,0.08474657901408442,0.10688116801671373,0.16129032258064516,0.028037383177751597,0.018691588785037606,0.5233644859814434,0.639344262295082
800,0,0,0,True,0.05074663340898199,0.03519292303876121,0.14516129032258066,0.07009345794384224,0.028037383177654005,0.2336448598130677,0.5901639344262295
800,2,2,1,True,0.09125840453845387,0.08413810062808347,0.06451612903225806,0.06018518518510192,0.027777777777664974,0.4814814814813955,0.4426229508196721
800,1,1,1,True,0.10402915145521921,0.08735814443850533,0.3064516129032258,0.17346938775513465,0.10204081632648712,0.5306122448979461,0.6557377049180327
800,2,2,2,True,0.10955430479753459,0.11058616455068772,0.27419354838709675,0.09883720930245972,0.04651162790695415,0.5697674418605526,0.5901639344262295
800,2,2,1,True,0.054884322843635085,0.07880112377387649,0.3225806451612903,0.0731707317072798,0.036585365853512554,0.3414634146339724,0.5409836065573771
800,0,0,0,True,0.06433727743123073,0.03296898849600162,0.16129032258064516,0.09868421052633025,0.0526315789473395,0.26315789473697226,0.5901639344262295
800,1,0,1,True,0.10703781999074605,0.13674483485445238,0.3225806451612903,0.10810810810804708,0.05405405405402354,0.8378378378379294,0.5081967213114754
801,23,3,2,False,0.12870538888289162,0.21233963409349824,0.7741935483870968,0.1981132075471674,0.09433962264151262,0.7924528301886681,0.8524590163934426
801,43,25,0,False,0.20411818092000983,0.3253698892848061,0.7903225806451613,0.31521739130435633,0.10869565217390471,0.9565217391304551,0.819672131147541
