record,t0_ms,n_ref_beats,n_det_beats,cv_ref,cv_det,rmssd_ref,rmssd_det,bsqi,ksqi,psqi,flatline_frac,sat_frac,d_cv,abs_d
100,213.88888888888889,64,63,0.048219551756096,0.05048229821479158,58.40795704726972,62.57766170162937,0.9841269841269841,30.0367435821777,0.4487158164935324,0.011757021554539516,0.00043535045711797995,0.0022627464586955845,0.0022627464586955845
100,52208.333333333336,64,62,0.03038339829001703,0.030981902436049456,25.034822422612706,24.509301297422407,0.9841269841269841,29.860057024571475,0.45143411138170714,0.01024411508282476,0.00043582479843103073,0.0005985041460324254,0.0005985041460324254
100,104163.88888888889,64,63,0.03189434105760824,0.033056842797993154,27.49633406650317,29.667743315901873,1.0,28.86318473644904,0.44972445290702634,0.012624584717607974,0.0004428697962798937,0.0011625017403849164,0.0011625017403849164
100,155300.0,64,63,0.059062327580420806,0.06157827369291393,71.23323406951009,75.47640791734777,0.96875,28.598404731018736,0.4563771256646883,0.013608428446005268,0.00043888523151195964,0.002515946112493124,0.002515946112493124
100,206897.22222222222,64,63,0.049801359222739934,0.05020007302458744,58.073538227782066,58.08617857622754,1.0,26.876438587205048,0.4448124106905306,0.008480104370515329,0.0004347826086956522,0.000398713801847507,0.000398713801847507
100,259016.66666666666,64,64,0.056681783681015674,0.056627787480967605,72.64317630252582,72.71920256880429,0.984375,28.58870630001135,0.46381461289665915,0.012516469038208168,0.0004390779363336992,-5.399620004806899e-05,5.399620004806899e-05
100,310583.3333333333,64,63,0.0626764778893994,0.06355401490837213,70.83465105245433,72.61473812037418,0.96875,24.796365367082473,0.4544065950370757,0.0124972104440973,0.0004462293618920125,0.0008775370189727377,0.0008775370189727377
100,361269.44444444444,64,63,0.04847109248451064,0.049438777565697964,23.913569812694863,24.96912667741509,1.0,23.16000205594397,0.44238748691104507,0.01278409090909091,0.00047337278106508875,0.0009676850811873236,0.0009676850811873236
100,409138.88888888893,64,63,0.04688239980663864,0.047453277020086435,24.855215956720457,27.567479186610054,1.0,23.908653847074316,0.4482918970169498,0.01164448669201521,0.0004751722499406035,0.0005708772134477916,0.0005708772134477916
100,456836.1111111111,64,63,0.06113207831362024,0.06382736740712427,61.28802999338991,65.4890498556475,0.96875,25.58088459133183,0.4583335570287728,0.012725590004627488,0.0004626416840157298,0.0026952890935040344,0.0026952890935040344
