db,record,lead,label,rr_cv,s_frac
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.06544396538813912,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.13532072573753218,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.08313905147216577,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.015746658216773055,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.03562277127294839,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.034991844273716266,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.040129101986335805,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.17952732496302046,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.037465210428287175,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.07420128520946312,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.05074663340898199,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.06433727743123073,0.0
svdb,800,ECG1 (UNVERIFIED),REGULAR,0.10703781999074605,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.059659659964539785,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.038750803008799815,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.022644006392470335,0.0
svdb,801,ECG1 (UNVERIFIED),IRREGULAR,0.09681059023704162,0.109375
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.030970834913193173,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.019915151927209364,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.02112000287679219,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.03230135170231913,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.026144742930434343,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.01578758391043905,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.016969108218136776,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.017611116406373608,0.0
svdb,801,ECG1 (UNVERIFIED),REGULAR,0.013221800689510354,0.0
